Calcium Deficiency,Low calcium causing bone weakness and cramps.,,,,,,,
Potassium Deficiency,Low potassium leading to muscle weakness and irregular heartbeat.,,,,,,,
Sodium Deficiency,Low sodium affecting fluid balance and nerve function.,,,,,,,
Hyperthyroidism,Overactive thyroid producing excess hormones.,,,,,,,
Hypothyroidism,Underactive thyroid producing too little hormone.,,,,,,,
Chronic Fatigue Syndrome,Long-term tiredness not relieved by rest.,,,,,,,
Panic Attack,Sudden episode of intense fear with physical symptoms.,,,,,,,
Insomnia,Difficulty falling or staying asleep.,,,,,,,
Sleep Apnea,Interrupted breathing during sleep causing tiredness.,,,,,,,
COPD,Chronic lung disease causing airflow blockage and breathing issues.,,,,,,,
Ankylosing Spondylitis,Arthritis affecting spine and causing stiffness.,,,,,,,
Gout,Joint inflammation from uric acid crystal buildup.,,,,,,,
Appendicitis,Swelling of appendix causing severe abdominal pain.,,,,,,,
Gallstones,Solid deposits in gallbladder causing pain after eating.,,,,,,,
Pancreatitis,Inflammation of pancreas causing abdominal pain and nausea.,,,,,,,
GERD,Acid reflux disease causing heartburn and chest discomfort.,,,,,,,
Lactose Intolerance,Inability to digest lactose in milk leading to bloating.,,,,,,,
Celiac Disease,Immune reaction to gluten damaging small intestine.,,,,,,,
Acne,Skin condition with pimples due to clogged pores.,,,,,,,
Hyponatremia,Low sodium in blood causing confusion or weakness.,,,,,,,
Hyperkalemia,High potassium in blood affecting heart rhythm.,,,,,,,
Hypokalemia,Low potassium causing muscle weakness or cramps.,,,,,,,
Sepsis,Life-threatening infection causing widespread inflammation.,,,,,,,
Meningitis,Infection of membranes around brain and spinal cord.,,,,,,,
Encephalitis,Brain inflammation due to viral infection.,,,,,,,
Dermatitis,Inflammation of skin from allergy or irritation.,,,,,,,
Sinusitis,Inflammation of sinus cavities causing headache and congestion.,,,,,,,
Conjunctivitis,Eye infection causing redness and discharge.,,,,,,,
Glaucoma,Increased eye pressure damaging optic nerve.,,,,,,,
Cataract,Clouding of eye lens leading to blurred vision.,,,,,,,
Dengue,Viral fever spread by mosquitoes causing body pain and rash.,,,,,,,
Chikungunya,Mosquito-borne viral infection causing severe joint pain.,,,,,,,
Leukemia,Cancer of blood-forming tissues leading to excess white cells.,,,,,,,
Lymphoma,Cancer of lymphatic system affecting immune response.,,,,,,,
Breast Cancer,Malignant growth in breast tissue.,,,,,,,
Prostate Cancer,Cancer affecting prostate gland in men.,,,,,,,
Lung Cancer,Uncontrolled growth of abnormal cells in lungs.,,,,,,,
Colon Cancer,Cancer of large intestine causing digestive symptoms.,,,,,,,
Skin Cancer,Uncontrolled skin cell growth due to UV exposure.,,,,,,,
HIV/AIDS,Virus that weakens the immune system increasing infection risk.,,,,,,,
Zinc Deficiency,Low zinc causing weak immunity and delayed wound healing.,,,,,,,
Dehydration,Loss of body fluids causing weakness and dry mouth.,,,,,,,
